Time(min)	BIS	InfusionRate(mg/min)	Q1	Q2	Q3	Ce	Kp	Ki	Kd	
0.000000	92.982400	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	0.200000	0.100000
0.010000	92.982400	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	0.200000	0.100000
0.020000	92.982400	240.000000	2.390314	0.003676	0.002180	0.000244	2.000000	0.200000	0.100000
0.030000	92.982398	240.000000	4.761418	0.014639	0.008687	0.000970	2.000000	0.200000	0.100000
0.040000	92.982377	240.000000	7.113470	0.032825	0.019484	0.002174	2.000000	0.200000	0.100000
0.050000	92.982294	240.000000	9.446630	0.058172	0.034536	0.003852	2.000000	0.200000	0.100000
0.060000	92.982086	240.000000	11.761054	0.090617	0.053811	0.005999	2.000000	0.200000	0.100000
0.070000	92.981674	240.000000	14.056898	0.130098	0.077274	0.008611	2.000000	0.200000	0.100000
0.080000	92.980960	240.000000	16.334316	0.176554	0.104890	0.011683	2.000000	0.200000	0.100000
0.090000	92.979834	240.000000	18.593460	0.229923	0.136626	0.015212	2.000000	0.200000	0.100000
0.100000	92.978170	240.000000	20.834484	0.290146	0.172450	0.019191	2.000000	0.200000	0.100000
0.110000	92.975831	240.000000	23.057537	0.357162	0.212328	0.023618	2.000000	0.200000	0.100000
0.120000	92.972667	240.000000	25.262768	0.430911	0.256228	0.028489	2.000000	0.200000	0.100000
0.130000	92.968519	240.000000	27.450326	0.511336	0.304116	0.033798	2.000000	0.200000	0.100000
0.140000	92.963215	240.000000	29.620357	0.598377	0.355962	0.039542	2.000000	0.200000	0.100000
0.150000	92.956576	240.000000	31.773007	0.691976	0.411733	0.045716	2.000000	0.200000	0.100000
0.160000	92.948412	240.000000	33.908420	0.792077	0.471397	0.052317	2.000000	0.200000	0.100000
0.170000	92.938525	240.000000	36.026740	0.898621	0.534923	0.059340	2.000000	0.200000	0.100000
0.180000	92.926711	240.000000	38.128107	1.011553	0.602281	0.066782	2.000000	0.200000	0.100000
0.190000	92.912756	0.000000	37.822350	1.127140	0.671258	0.074395	2.000000	0.200000	0.100000
0.200000	92.896972	0.000000	37.519131	1.241717	0.739679	0.081935	2.000000	0.200000	0.100000
0.210000	92.879853	0.000000	37.218431	1.355290	0.807549	0.089404	2.000000	0.200000	0.100000
0.220000	92.861454	0.000000	36.920227	1.467868	0.874872	0.096801	2.000000	0.200000	0.100000
0.230000	92.841831	0.000000	36.624500	1.579461	0.941653	0.104129	2.000000	0.200000	0.100000
0.240000	92.821036	0.000000	36.331228	1.690075	1.007896	0.111386	2.000000	0.200000	0.100000
0.250000	92.799118	0.000000	36.040391	1.799720	1.073606	0.118574	2.000000	0.200000	0.100000
0.260000	92.776123	0.000000	35.751970	1.908402	1.138787	0.125694	2.000000	0.200000	0.100000
0.270000	92.752097	0.000000	35.465943	2.016131	1.203444	0.132746	2.000000	0.200000	0.100000
0.280000	92.727084	0.000000	35.182292	2.122914	1.267580	0.139730	2.000000	0.200000	0.100000
0.290000	92.701125	0.000000	34.900995	2.228759	1.331201	0.146647	2.000000	0.200000	0.100000
0.300000	92.674261	0.000000	34.622034	2.333674	1.394310	0.153498	2.000000	0.200000	0.100000
0.310000	92.646530	0.000000	34.345390	2.437667	1.456912	0.160283	2.000000	0.200000	0.100000
0.320000	92.617970	0.000000	34.071042	2.540745	1.519011	0.167003	2.000000	0.200000	0.100000
0.330000	92.588616	0.000000	33.798972	2.642916	1.580611	0.173658	2.000000	0.200000	0.100000
0.340000	92.558505	0.000000	33.529161	2.744187	1.641716	0.180249	2.000000	0.200000	0.100000
0.350000	92.527670	0.000000	33.261590	2.844567	1.702331	0.186777	2.000000	0.200000	0.100000
0.360000	92.496144	0.000000	32.996240	2.944062	1.762459	0.193241	2.000000	0.200000	0.100000
0.370000	92.463958	0.000000	32.733094	3.042679	1.822104	0.199643	2.000000	0.200000	0.100000
0.380000	92.431143	0.000000	32.472132	3.140427	1.881271	0.205983	2.000000	0.200000	0.100000
0.390000	92.397729	0.000000	32.213336	3.237313	1.939964	0.212262	2.000000	0.200000	0.100000
0.400000	92.363745	0.000000	31.956689	3.333343	1.998186	0.218480	2.000000	0.200000	0.100000
0.410000	92.329219	0.000000	31.702173	3.428525	2.055941	0.224637	2.000000	0.200000	0.100000
0.420000	92.294178	0.000000	31.449769	3.522865	2.113234	0.230734	2.000000	0.200000	0.100000
0.430000	92.258648	0.000000	31.199461	3.616372	2.170067	0.236772	2.000000	0.200000	0.100000
0.440000	92.222655	0.000000	30.951231	3.709051	2.226445	0.242752	2.000000	0.200000	0.100000
0.450000	92.186223	0.000000	30.705061	3.800910	2.282372	0.248672	2.000000	0.200000	0.100000
0.460000	92.149378	0.000000	30.460934	3.891956	2.337851	0.254535	2.000000	0.200000	0.100000
0.470000	92.112141	0.000000	30.218834	3.982195	2.392887	0.260341	2.000000	0.200000	0.100000
0.480000	92.074536	0.000000	29.978744	4.071634	2.447482	0.266090	2.000000	0.200000	0.100000
0.490000	92.036584	0.000000	29.740647	4.160279	2.501640	0.271782	2.000000	0.200000	0.100000
0.500000	91.998308	0.000000	29.504525	4.248139	2.555366	0.277419	2.000000	0.200000	0.100000
0.510000	91.959727	0.000000	29.270364	4.335218	2.608662	0.282999	2.000000	0.200000	0.100000
0.520000	91.920861	0.000000	29.038146	4.421523	2.661532	0.288525	2.000000	0.200000	0.100000
0.530000	91.881730	0.000000	28.807856	4.507062	2.713980	0.293997	2.000000	0.200000	0.100000
0.540000	91.842353	0.000000	28.579477	4.591839	2.766010	0.299414	2.000000	0.200000	0.100000
0.550000	91.802749	0.000000	28.352993	4.675863	2.817624	0.304778	2.000000	0.200000	0.100000
0.560000	91.762934	0.000000	28.128390	4.759138	2.868826	0.310089	2.000000	0.200000	0.100000
0.570000	91.722927	0.000000	27.905650	4.841671	2.919620	0.315347	2.000000	0.200000	0.100000
0.580000	91.682743	0.000000	27.684759	4.923469	2.970008	0.320553	2.000000	0.200000	0.100000
0.590000	91.642399	0.000000	27.465701	5.004538	3.019995	0.325707	2.000000	0.200000	0.100000
0.600000	91.601912	0.000000	27.248460	5.084883	3.069584	0.330810	2.000000	0.200000	0.100000
0.610000	91.561295	0.000000	27.033023	5.164510	3.118777	0.335861	2.000000	0.200000	0.100000
0.620000	91.520564	0.000000	26.819374	5.243426	3.167579	0.340863	2.000000	0.200000	0.100000
0.630000	91.479733	0.000000	26.607497	5.321637	3.215993	0.345814	2.000000	0.200000	0.100000
0.640000	91.438816	0.000000	26.397379	5.399148	3.264021	0.350716	2.000000	0.200000	0.100000
0.650000	91.397827	0.000000	26.189004	5.475966	3.311667	0.355568	2.000000	0.200000	0.100000
0.660000	91.356779	0.000000	25.982359	5.552096	3.358934	0.360372	2.000000	0.200000	0.100000
0.670000	91.315683	0.000000	25.777428	5.627543	3.405825	0.365127	2.000000	0.200000	0.100000
